root@comp3134-Winter2025:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
02:01:50.592482 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 422535523:422535607, ack 1815927605, win 501, length 84
02:01:50.901376 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 9240:9276, ack 1, win 501, length 36
02:01:50.901414 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 9276:9424, ack 1, win 501, length 148
02:01:50.901444 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 9424:9460, ack 1, win 501, length 36
02:01:50.901480 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 9460:9608, ack 1, win 501, length 148
02:01:50.901598 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 9608:9816, ack 1, win 501, length 208
02:01:50.904461 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 9816:10588, ack 1, win 501, length 772
02:01:50.907622 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 7252, win 1026, length 0
02:01:50.911264 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 9460, win 1026, length 0
02:01:50.911264 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 10588, win 1022, length 0
02:01:51.003341 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 10588:10736, ack 1, win 501, length 148
02:01:51.003415 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 10736:10920, ack 1, win 501, length 184
02:01:51.003464 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 10920:10956, ack 1, win 501, length 36
02:01:51.003493 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 10956:11104, ack 1, win 501, length 148
02:01:51.003519 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11104:11140, ack 1, win 501, length 36
02:01:51.003556 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11140:11288, ack 1, win 501, length 148
02:01:51.003583 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11288:11324, ack 1, win 501, length 36
02:01:51.003618 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11324:11472, ack 1, win 501, length 148
02:01:51.003679 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11472:11656, ack 1, win 501, length 184
02:01:51.003722 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11656:11692, ack 1, win 501, length 36
02:01:51.003773 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11692:11840, ack 1, win 501, length 148
02:01:51.003806 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11840:11876, ack 1, win 501, length 36
02:01:51.003845 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 11876:12024, ack 1, win 501, length 148
02:01:51.003898 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12024:12208, ack 1, win 501, length 184
02:01:51.003931 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12208:12244, ack 1, win 501, length 36
02:01:51.003965 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12244:12392, ack 1, win 501, length 148
02:01:51.003993 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12392:12428, ack 1, win 501, length 36
02:01:51.004201 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12428:12576, ack 1, win 501, length 148
02:01:51.004280 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12576:12760, ack 1, win 501, length 184
02:01:51.004315 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12760:12796, ack 1, win 501, length 36
02:01:51.004343 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12796:12944, ack 1, win 501, length 148
02:01:51.004370 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12944:12980, ack 1, win 501, length 36
02:01:51.004406 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 12980:13128, ack 1, win 501, length 148
02:01:51.004433 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13128:13164, ack 1, win 501, length 36
02:01:51.004468 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13164:13312, ack 1, win 501, length 148
02:01:51.004496 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13312:13348, ack 1, win 501, length 36
02:01:51.004532 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13348:13496, ack 1, win 501, length 148
02:01:51.004567 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13496:13532, ack 1, win 501, length 36
02:01:51.004600 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13532:13680, ack 1, win 501, length 148
02:01:51.004629 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13680:13716, ack 1, win 501, length 36
02:01:51.004679 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13716:13864, ack 1, win 501, length 148
02:01:51.004705 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13864:13900, ack 1, win 501, length 36
02:01:51.004742 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 13900:14048, ack 1, win 501, length 148
02:01:51.004769 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14048:14084, ack 1, win 501, length 36
02:01:51.004825 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14084:14232, ack 1, win 501, length 148
02:01:51.004862 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14232:14268, ack 1, win 501, length 36
02:01:51.004901 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14268:14416, ack 1, win 501, length 148
02:01:51.004939 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14416:14452, ack 1, win 501, length 36
02:01:51.004994 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14452:14600, ack 1, win 501, length 148
02:01:51.005033 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14600:14636, ack 1, win 501, length 36
02:01:51.005073 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14636:14784, ack 1, win 501, length 148
02:01:51.005101 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14784:14820, ack 1, win 501, length 36
02:01:51.005139 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14820:14968, ack 1, win 501, length 148
02:01:51.005196 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 14968:15152, ack 1, win 501, length 184
02:01:51.005224 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15152:15188, ack 1, win 501, length 36
02:01:51.005277 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15188:15336, ack 1, win 501, length 148
02:01:51.005317 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15336:15372, ack 1, win 501, length 36
02:01:51.005370 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15372:15520, ack 1, win 501, length 148
02:01:51.005428 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15520:15556, ack 1, win 501, length 36
02:01:51.005463 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15556:15704, ack 1, win 501, length 148
02:01:51.005505 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15704:15740, ack 1, win 501, length 36
02:01:51.005551 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15740:15888, ack 1, win 501, length 148
02:01:51.005599 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15888:15924, ack 1, win 501, length 36
02:01:51.005628 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 15924:16072, ack 1, win 501, length 148
02:01:51.005654 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 16072:16108, ack 1, win 501, length 36
02:01:51.005691 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 16108:16256, ack 1, win 501, length 148
02:01:51.005718 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 16256:16292, ack 1, win 501, length 36
02:01:51.005754 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 16292:16440, ack 1, win 501, length 148
02:01:51.005829 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 16440:16708, ack 1, win 501, length 268
02:01:51.005852 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 16708:16976, ack 1, win 501, length 268
02:01:51.005932 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 16976:17476, ack 1, win 501, length 500
02:01:51.006012 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 17476:17856, ack 1, win 501, length 380
02:01:51.006073 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 17856:18212, ack 1, win 501, length 356
02:01:51.006121 IP 68.183.207.237.22 > 142.189.208.5.63451: Flags [P.], seq 18212:18352, ack 1, win 501, length 140
02:01:51.012615 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 11472, win 1026, options [nop,nop,sack 1 {12980:13128}], length 0
02:01:51.013920 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 11472, win 1026, options [nop,nop,sack 1 {12980:13164}], length 0
02:01:51.013921 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 11472, win 1026, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.013921 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 11656, win 1025, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.013921 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 11692, win 1025, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.013921 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 11840, win 1025, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.013921 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 11876, win 1025, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.013921 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12024, win 1024, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.013921 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12208, win 1023, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.014014 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12244, win 1023, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.014014 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12392, win 1023, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.015565 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12428, win 1022, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.015565 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12576, win 1022, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.015565 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12760, win 1021, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.015565 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12796, win 1021, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.015565 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 12944, win 1026, options [nop,nop,sack 1 {12980:13312}], length 0
02:01:51.015626 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 13312, win 1025, length 0
02:01:51.015626 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 16292, win 1026, length 0
02:01:51.015626 IP 142.189.208.5.63451 > 68.183.207.237.22: Flags [.], ack 18352, win 1026, length 0
^C
185 packets captured
210 packets received by filter
0 packets dropped by kernel
